id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	com.bumptech.glide.GeneratedAppGlideModule	getExcludedModuleClasses()	0	0	[]	false	package	true	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/GeneratedAppGlideModule.java
2	com.bumptech.glide.GeneratedAppGlideModule	getRequestManagerFactory()	0	0	[]	true	package	true	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/GeneratedAppGlideModule.java
3	com.bumptech.glide.module.AppGlideModule	isManifestParsingEnabled()	0	0	[]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/module/AppGlideModule.java
4	com.bumptech.glide.module.AppGlideModule	applyOptions(android.content.Context,com.bumptech.glide.GlideBuilder)	5	2	[false, false]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/module/AppGlideModule.java
6	com.bumptech.glide.module.LibraryGlideModule	registerComponents(android.content.Context,com.bumptech.glide.Glide,com.bumptech.glide.Registry)	7	3	[false, false, false]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/module/LibraryGlideModule.java
7	com.bumptech.glide.module.RegistersComponents	registerComponents(android.content.Context,com.bumptech.glide.Glide,com.bumptech.glide.Registry)	0	3	[false, false, false]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/module/RegistersComponents.java
5	com.bumptech.glide.module.AppliesOptions	applyOptions(android.content.Context,com.bumptech.glide.GlideBuilder)	0	2	[false, false]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/module/AppliesOptions.java
8	com.bumptech.glide.load.engine.prefill.PreFillType	PreFillType(int,int,android.graphics.Bitmap.Config,int)	0	4	[false, false, true, false]	false	package	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
9	com.bumptech.glide.load.engine.prefill.PreFillType	getWidth()	0	0	[]	false	package	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
10	com.bumptech.glide.load.engine.prefill.PreFillType	getHeight()	0	0	[]	false	package	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
11	com.bumptech.glide.load.engine.prefill.PreFillType	getConfig()	0	0	[]	false	package	true	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
12	com.bumptech.glide.load.engine.prefill.PreFillType	getWeight()	0	0	[]	false	package	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
13	com.bumptech.glide.load.engine.prefill.PreFillType	equals(java.lang.Object)	14	1	[false]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
15	com.bumptech.glide.load.engine.prefill.PreFillType	hashCode()	16	0	[]	false	public	false	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
17	com.bumptech.glide.load.engine.prefill.PreFillType	toString()	18	0	[]	false	public	true	file:///tmp/projects/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
