CLASS	METHOD	PARAMETER	INDEX
com.bumptech.glide.request.BaseRequestOptions	transform(com.bumptech.glide.load.Transformation[])	transformations	0
com.bumptech.glide.request.BaseRequestOptions	transform(com.bumptech.glide.load.Transformation,boolean)	isRequired	1
com.bumptech.glide.request.BaseRequestOptions	transform(com.bumptech.glide.load.Transformation,boolean)	transformation	0
com.bumptech.glide.request.BaseRequestOptions	transform(java.lang.Class,com.bumptech.glide.load.Transformation,boolean)	isRequired	2
com.bumptech.glide.request.BaseRequestOptions	apply(com.bumptech.glide.request.BaseRequestOptions)	o	0
com.bumptech.glide.request.BaseRequestOptions	isEquivalentTo(com.bumptech.glide.request.BaseRequestOptions)	other	0
com.bumptech.glide.request.BaseRequestOptions	equals(java.lang.Object)	o	0
com.bumptech.glide.RequestBuilder	RequestBuilder(com.bumptech.glide.Glide,com.bumptech.glide.RequestManager,java.lang.Class,android.content.Context)	transcodeClass	2
com.bumptech.glide.RequestBuilder	RequestBuilder(com.bumptech.glide.Glide,com.bumptech.glide.RequestManager,java.lang.Class,android.content.Context)	context	3
com.bumptech.glide.RequestBuilder	RequestBuilder(com.bumptech.glide.Glide,com.bumptech.glide.RequestManager,java.lang.Class,android.content.Context)	glide	0
com.bumptech.glide.RequestBuilder	RequestBuilder(com.bumptech.glide.Glide,com.bumptech.glide.RequestManager,java.lang.Class,android.content.Context)	requestManager	1
com.bumptech.glide.RequestBuilder	RequestBuilder(java.lang.Class,com.bumptech.glide.RequestBuilder)	other	1
com.bumptech.glide.RequestBuilder	initRequestListeners(java.util.List)	requestListeners	0
com.bumptech.glide.RequestBuilder	addListener(com.bumptech.glide.request.RequestListener)	requestListener	0
com.bumptech.glide.RequestBuilder	error(com.bumptech.glide.RequestBuilder)	errorBuilder	0
com.bumptech.glide.RequestBuilder	error(java.lang.Object)	model	0
com.bumptech.glide.RequestBuilder	thumbnail(com.bumptech.glide.RequestBuilder)	thumbnailRequest	0
com.bumptech.glide.RequestBuilder	thumbnail(com.bumptech.glide.RequestBuilder[])	thumbnails	0
com.bumptech.glide.RequestBuilder	thumbnail(java.util.List)	thumbnails	0
com.bumptech.glide.RequestBuilder	thumbnail(float)	sizeMultiplier	0
com.bumptech.glide.RequestBuilder	loadGeneric(java.lang.Object)	model	0
com.bumptech.glide.RequestBuilder	maybeApplyOptionsResourceUri(android.net.Uri,com.bumptech.glide.RequestBuilder)	requestBuilder	1
com.bumptech.glide.RequestBuilder	maybeApplyOptionsResourceUri(android.net.Uri,com.bumptech.glide.RequestBuilder)	uri	0
com.bumptech.glide.RequestBuilder	applyResourceThemeAndSignature(com.bumptech.glide.RequestBuilder)	requestBuilder	0
com.bumptech.glide.RequestBuilder	into(Y,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)	target	0
com.bumptech.glide.RequestBuilder	isSkipMemoryCacheWithCompletePreviousRequest(com.bumptech.glide.request.BaseRequestOptions,com.bumptech.glide.request.Request)	options	0
com.bumptech.glide.RequestBuilder	isSkipMemoryCacheWithCompletePreviousRequest(com.bumptech.glide.request.BaseRequestOptions,com.bumptech.glide.request.Request)	previous	1
com.bumptech.glide.RequestBuilder	into(android.widget.ImageView)	view	0
com.bumptech.glide.RequestBuilder	submit(int,int)	height	1
com.bumptech.glide.RequestBuilder	submit(int,int)	width	0
com.bumptech.glide.RequestBuilder	getThumbnailPriority(com.bumptech.glide.Priority)	current	0
com.bumptech.glide.RequestBuilder	buildRequestRecursive(java.lang.Object,com.bumptech.glide.request.target.Target,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.RequestCoordinator,com.bumptech.glide.TransitionOptions,com.bumptech.glide.Priority,int,int,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)	parentCoordinator	3
com.bumptech.glide.RequestBuilder	buildRequestRecursive(java.lang.Object,com.bumptech.glide.request.target.Target,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.RequestCoordinator,com.bumptech.glide.TransitionOptions,com.bumptech.glide.Priority,int,int,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)	requestLock	0
com.bumptech.glide.RequestBuilder	buildRequestRecursive(java.lang.Object,com.bumptech.glide.request.target.Target,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.RequestCoordinator,com.bumptech.glide.TransitionOptions,com.bumptech.glide.Priority,int,int,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)	requestOptions	8
