message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.engine.prefill.PreFillType$Builder	setConfig(android.graphics.Bitmap.Config)	4155	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java	FIELD	com.bumptech.glide.load.engine.prefill.PreFillType$Builder	null	config	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/PreFillType.java
FIELD_NO_INIT	@NonNull field GlideSuppliers$1.instance not initialized	com.bumptech.glide.util.GlideSuppliers$1	instance	473	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/util/GlideSuppliers.java	FIELD	com.bumptech.glide.util.GlideSuppliers$1	null	instance	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/util/GlideSuppliers.java
FIELD_NO_INIT	@NonNull static field glide not initialized	com.bumptech.glide.Glide	glide	2740	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java	FIELD	com.bumptech.glide.Glide	null	glide	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.Glide	tearDown()	7587	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java	FIELD	com.bumptech.glide.Glide	null	glide	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java
PASS_NULLABLE	passing @Nullable parameter 'annotationGeneratedModule' where @NonNull is required	com.bumptech.glide.Glide	initializeGlide(android.content.Context,com.bumptech.glide.GlideBuilder,com.bumptech.glide.GeneratedAppGlideModule)	9738	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java	PARAMETER	com.bumptech.glide.GlideBuilder	build(android.content.Context,java.util.List,com.bumptech.glide.module.AppGlideModule)	annotationGeneratedGlideModule	2	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/GlideBuilder.java
PASS_NULLABLE	passing @Nullable parameter 'decodeFormat' where @NonNull is required	com.bumptech.glide.Glide	preFillBitmapPool(com.bumptech.glide.load.engine.prefill.PreFillType.Builder[])	16734	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java	PARAMETER	com.bumptech.glide.load.engine.prefill.BitmapPreFiller	BitmapPreFiller(com.bumptech.glide.load.engine.cache.MemoryCache,com.bumptech.glide.load.engine.bitmap_recycle.BitmapPool,com.bumptech.glide.load.DecodeFormat)	defaultFormat	2	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/prefill/BitmapPreFiller.java
PASS_NULLABLE	passing @Nullable parameter 'context' where @NonNull is required	com.bumptech.glide.Glide	getRetriever(android.content.Context)	20231	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java	PARAMETER	com.bumptech.glide.Glide	get(android.content.Context)	context	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/Glide.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields paint (line 68), destRect (line 69), animationCallbacks (line 72) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.bumptech.glide.load.resource.gif.GifDrawable	GifDrawable(com.bumptech.glide.load.resource.gif.GifDrawable.GifState)	5765	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifDrawable.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields current (line 49), next (line 51), firstFrame (line 52), transformation (line 53), pendingTarget (line 54) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.bumptech.glide.load.resource.gif.GifFrameLoader	GifFrameLoader(com.bumptech.glide.load.engine.bitmap_recycle.BitmapPool,com.bumptech.glide.RequestManager,com.bumptech.glide.gifdecoder.GifDecoder,android.os.Handler,com.bumptech.glide.RequestBuilder,com.bumptech.glide.load.Transformation,android.graphics.Bitmap)	2572	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.bumptech.glide.load.resource.gif.GifFrameLoader	GifFrameLoader(com.bumptech.glide.Glide,com.bumptech.glide.gifdecoder.GifDecoder,int,int,com.bumptech.glide.load.Transformation,android.graphics.Bitmap)	2323	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	PARAMETER	com.bumptech.glide.load.resource.gif.GifFrameLoader	GifFrameLoader(com.bumptech.glide.load.engine.bitmap_recycle.BitmapPool,com.bumptech.glide.RequestManager,com.bumptech.glide.gifdecoder.GifDecoder,android.os.Handler,com.bumptech.glide.RequestBuilder,com.bumptech.glide.load.Transformation,android.graphics.Bitmap)	handler	3	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
