kind	class	method	param	index	uri
METHOD	com.bumptech.glide.ModelTypes	load(android.graphics.Bitmap)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(android.graphics.drawable.Drawable)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(android.net.Uri)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(java.io.File)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(java.lang.Integer)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(byte[])	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ModelTypes	load(java.lang.Object)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ModelTypes.java
METHOD	com.bumptech.glide.ListPreloader$PreloadModelProvider	getPreloadItems(int)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader$PreloadModelProvider	getPreloadRequestBuilder(U)	item	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader$PreloadSizeProvider	getPreloadSize(T,int,int)	item	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	requestManager	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	preloadModelProvider	1	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	preloadDimensionProvider	2	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader$PreloadTarget	onResourceReady(java.lang.Object,com.bumptech.glide.request.transition.Transition)	resource	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader$PreloadTarget	getSize(com.bumptech.glide.request.target.SizeReadyCallback)	cb	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
PARAMETER	com.bumptech.glide.ListPreloader$PreloadTarget	removeCallback(com.bumptech.glide.request.target.SizeReadyCallback)	cb	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/ListPreloader.java
METHOD	com.bumptech.glide.request.RequestOptions	sizeMultiplierOf(float)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/request/RequestOptions.java
PARAMETER	com.bumptech.glide.request.RequestOptions	diskCacheStrategyOf(com.bumptech.glide.load.engine.DiskCacheStrategy)	diskCacheStrategy	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/request/RequestOptions.java
METHOD	com.bumptech.glide.request.RequestOptions	diskCacheStrategyOf(com.bumptech.glide.load.engine.DiskCacheStrategy)	null	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/request/RequestOptions.java
PARAMETER	com.bumptech.glide.request.RequestOptions	priorityOf(com.bumptech.glide.Priority)	priority	0	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/request/RequestOptions.java
